a2ps 4.15.8-1
accountsservice 26.27.3-1.1
acpi_call-dkms 1.2.2-3
ags-hyprpanel-git r629.e919b4a-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.16-1.1
aquamarine 0.12.1-1.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bibata-cursor-theme-bin 2.0.7-1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
brave-bin 1:1.92.141-1
brightnessctl 0.5.1-3
bruno-bin 3.5.1-1
btop 1.4.7-1.1
btrfs-progs 7.1-1
bun 1.3.14-1
cachyos-fish-config 16-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-plymouth-bootanimation 2-3
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-2
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
chwd 1.24.1-1
claude-desktop 1.22209.0-1
cryptsetup 2.8.6-1.1
cups 2:2.4.19-1
cursor-bin 3.12.17-1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
discord 1:1.0.149-1
dmidecode 3.7-1
dnsmasq 2.93-1.1
dosfstools 4.2-5.1
downgrade 12.0.2-1
dunst 1.13.2-1.1
e2fsprogs 1.47.4-1.1
easyeffects 8.2.7-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.21-1.1
elephant-all 2.22.0-1
ethtool 1:7.1-1.1
exfatprogs 1.4.2-1.1
fastfetch 2.66.0-1.1
fatrace 0.19.1-1
ffmpegthumbnailer 2.3.0-1.1
fnm 1.39.0-1.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
fragments 3.0.1-4.1
gamemode 1.8.2-3.1
gamescope 3.16.24-1
ghostscript 10.07.1-1.1
git 2.55.0-1.1
gitflow-avh 1.12.3-1
gjs 2:1.88.1-1.1
glycin-gtk4 2.1.5-2.1
gnome-disk-utility 46.1-2.2
gnome-keyring 1:50.0-1.1
gobject-introspection 1.86.0-2.1
grim 1.5.0-2.1
grimblast-git r163.1f71628-1
gsfonts 20200910-6
gst-libav 1.28.5-2.1
gst-plugin-pipewire 1:1.6.8-1.1
gst-plugin-va 1.28.5-2.1
gst-plugins-bad 1.28.5-2.1
gst-plugins-good 1.28.5-2.1
gst-plugins-ugly 1.28.5-2.1
gutenprint 5.3.5-1.1
gvfs-mtp 1.60.1-1
handbrake 1.11.2-1.1
hdparm 9.65-3.1
hivex 1.3.24-8.1
hyprcursor 0.1.13-6.1
hyprgraphics 0.5.1-3.1
hypridle 0.1.7-9.1
hyprland 0.55.4-1.1
hyprland-guiutils 0.2.1-6.1
hyprland-per-window-layout 2.17-1
hyprlang 0.6.8-4.1
hyprlock 0.9.5-4.1
hyprpicker 0.4.7-1.1
hyprpolkitagent 0.1.3-7.1
hyprsunset 0.4.0-2.1
hyprtoolkit 0.5.4-2.1
hyprutils 0.13.1-1.1
impala 0.7.4-1.1
inetutils 2.8-1.1
inotify-tools 4.25.9.0-1.1
intel-media-driver 26.1.5-1.1
intel-ucode 20260512-1
iptables 1:1.8.13-1.1
iwd 3.12-1.1
iwgtk 0.9-1
kitty 0.47.4-1.1
less 1:704-1.1
lib32-nvidia-utils 610.43.03-1
lib32-opencl-nvidia 610.43.03-1
lib32-vulkan-icd-loader 1.4.350.1-1
lib32-vulkan-intel 3:26.1.5-1
libgsf 1.14.58-1.1
libopenraw 0.3.7-2.1
libva-nvidia-driver 0.0.17-1.1
linux-cachyos 7.1.3-2
linux-cachyos-headers 7.1.3-2
linux-cachyos-lts 6.18.38-2
linux-cachyos-lts-headers 6.18.38-2
linux-cachyos-lts-nvidia-open 6.18.38-2
linux-cachyos-nvidia-open 7.1.3-2
linux-firmware 1:20260622-1
logrotate 3.22.0-1.1
loupe 50.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lvm2 2.03.41-1.1
man-db 2.13.1-2.1
man-pages 6.18-1
matugen-bin 4.1.0-1
mdadm 4.6-2
mediainfo 26.05-1.1
meld 3.24.0-1
mesa-utils 9.0.0-7.1
mkinitcpio 41-5
mkvtoolnix-gui 100.0-1
mpv 1:0.41.0-3.1
msr-tools 1.3-4
mtools 1:4.0.49-1.1
mullvad-vpn 2026.3-1.1
nano 9.1-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
nautilus 50.2.2-1
netctl 1.29-2
network-manager-applet 1.36.0-2.1
networkmanager 1.56.1-2
nm-connection-editor 1.36.0-2.1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.07.01-1
nss-mdns 0.15.1-2.1
ntfs-3g 2026.7.7-1.1
ntfsprogs 2026.7.7-1.1
nvidia-prime 1.0-6
nvidia-settings 610.43.03-1
nvidia-utils 610.43.03-1
nwg-displays 0.4.3-1
onlyoffice-bin 9.4.0-1
opencl-nvidia 610.43.03-1
openssh 10.4p1-2.1
os-prober 1.84-1.1
overskride 0.6.6-1
pacman-contrib 1.13.1-1.2
pamixer 1.6-4.1
papers 50.2-1.1
paru 2.1.0-3
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
pipewire-alsa 1:1.6.8-1.1
pipewire-pulse 1:1.6.8-1.1
pkgfile 25-2.1
playerctl 2.4.1-5.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
poppler-glib 26.07.0-1.1
power-profiles-daemon 0.30-3
pv 1.11.0-1.1
python 3.14.6-2
python-gpustat 1:1.1.1-1
